match_details_link,match_details_time,match_details_date,match_details_teams,match_details_league,match_details_bet_options_option_1,match_details_bet_options_option_x,match_details_bet_options_option_2,match_details_bet_options_bet_count
https://www.betpawa.co.ke/event/31537545?filter=all,5:30 pm,Sun 11/01,"Borussia Monchengladbach
FC Augsburg",Football / Germany / Bundesliga,1.99,3.65,3.65,111
https://www.betpawa.co.ke/event/30613184?filter=all,6:15 pm,Sun 11/01,"Levante UD
Espanyol Barcelona",Football / Spain / LaLiga,3.10,3.35,2.30,111
https://www.betpawa.co.ke/event/31849026?filter=all,6:30 pm,Sun 11/01,"OFI Crete
Asteras Tripolis",Football / Greece / Super League 1,2.65,3.00,2.65,73
https://www.betpawa.co.ke/event/32098113?filter=all,6:30 pm,Sun 11/01,"Nacional da Madeira
Santa Clara Azores",Football / Portugal / Liga Portugal,2.80,3.05,2.70,113
https://www.betpawa.co.ke/event/31455765?filter=all,6:45 pm,Sun 11/01,"Sparta Rotterdam
Heracles Almelo",Football / Netherlands / Eredivisie,1.82,3.85,3.95,114
https://www.betpawa.co.ke/event/31537544?filter=all,7:30 pm,Sun 11/01,"Bayern Munich
VfL Wolfsburg",Football / Germany / Bundesliga,1.13,9.25,16.00,112
https://www.betpawa.co.ke/event/32125086?filter=all,7:30 pm,Sun 11/01,"Aberdeen FC
Glasgow Rangers",Football / Scotland / Premiership,3.15,3.35,2.24,110
https://www.betpawa.co.ke/event/32155287?filter=all,8:00 pm,Sun 11/01,"Hellas Verona
Lazio Rome",Football / Italy / Serie A,3.50,3.15,2.23,108
https://www.betpawa.co.ke/event/31881532?filter=all,8:30 pm,Sun 11/01,"Aris Thessaloniki
AEK Athens",Football / Greece / Super League 1,5.25,3.55,1.64,72
https://www.betpawa.co.ke/event/32017821?filter=all,9:00 pm,Sun 11/01,"Pumas UNAM
Queretaro FC","Football / Mexico / Primera Division, Clausura",1.43,4.30,6.50,72
https://www.betpawa.co.ke/event/32125651?filter=all,9:00 pm,Sun 11/01,"Moreirense FC
CD Tondela",Football / Portugal / Liga Portugal,2.14,3.25,3.50,114
https://www.betpawa.co.ke/event/31849022?filter=all,10:00 pm,Sun 11/01,"Panathinaikos Athens
Panserraikos FC",Football / Greece / Super League 1,1.09,9.00,17.50,71
https://www.betpawa.co.ke/event/32155268?filter=all,10:45 pm,Sun 11/01,"Inter Milano
SSC Napoli",Football / Italy / Serie A,1.78,3.55,4.80,112
https://www.betpawa.co.ke/event/32017820?filter=all,4:00 am,Mon 12/01,"Atletico San Luis
Tigres UANL","Football / Mexico / Primera Division, Clausura",3.75,3.50,1.89,73
https://www.betpawa.co.ke/event/32221015?filter=all,8:30 pm,Mon 12/01,"Genoa CFC
Cagliari Calcio",Football / Italy / Serie A,2.11,3.05,4.00,105
https://www.betpawa.co.ke/event/32221017?filter=all,10:45 pm,Mon 12/01,"Juventus Turin
US Cremonese",Football / Italy / Serie A,1.27,5.75,11.00,107
https://www.betpawa.co.ke/event/30613202?filter=all,11:00 pm,Mon 12/01,"Sevilla FC
RC Celta de Vigo",Football / Spain / LaLiga,2.50,3.35,2.85,111
https://www.betpawa.co.ke/event/32069068?filter=all,8:30 pm,Tue 13/01,"VfB Stuttgart
Eintracht Frankfurt",Football / Germany / Bundesliga,1.85,3.90,3.95,112
https://www.betpawa.co.ke/event/32069069?filter=all,10:30 pm,Tue 13/01,"Borussia Dortmund
Werder Bremen",Football / Germany / Bundesliga,1.36,5.50,7.50,111
https://www.betpawa.co.ke/event/32004553?filter=all,10:30 pm,Tue 13/01,"Hamburger SV
Bayer Leverkusen",Football / Germany / Bundesliga,3.40,3.70,2.05,111
https://www.betpawa.co.ke/event/32030065?filter=all,10:30 pm,Tue 13/01,"FSV Mainz
1. FC Heidenheim",Football / Germany / Bundesliga,1.70,3.75,5.00,110
https://www.betpawa.co.ke/event/32009878?filter=all,10:45 pm,Tue 13/01,"Carrick Rangers
Linfield FC",Football / Northern Ireland / Premiership,4.65,3.85,1.62,69
https://www.betpawa.co.ke/event/31955946?filter=all,10:45 pm,Tue 13/01,"Ballymena United
Cliftonville FC",Football / Northern Ireland / Premiership,3.70,3.35,1.90,69
https://www.betpawa.co.ke/event/31955945?filter=all,10:45 pm,Tue 13/01,"Glentoran FC
Larne FC",Football / Northern Ireland / Premiership,2.16,3.05,3.30,68
https://www.betpawa.co.ke/event/32014560?filter=all,11:00 pm,Tue 13/01,"Newcastle United
Manchester City",Football / England / EFL Cup,3.15,3.70,2.10,111
https://www.betpawa.co.ke/event/32281029?filter=all,4:00 am,Wed 14/01,"Club Necaxa
CF Monterrey","Football / Mexico / Primera Division, Clausura",2.40,3.65,2.60,73
https://www.betpawa.co.ke/event/32281012?filter=all,4:00 am,Wed 14/01,"Club Puebla
Mazatlan FC","Football / Mexico / Primera Division, Clausura",1.90,3.50,3.70,73
https://www.betpawa.co.ke/event/32213625?filter=all,4:00 am,Wed 14/01,"CF Pachuca
Club Leon","Football / Mexico / Primera Division, Clausura",1.48,4.25,5.75,72
https://www.betpawa.co.ke/event/32213657?filter=all,6:00 am,Wed 14/01,"FC Juarez
CD Guadalajara","Football / Mexico / Primera Division, Clausura",3.55,3.35,1.99,73
https://www.betpawa.co.ke/event/32229416?filter=all,6:00 am,Wed 14/01,"CF Cruz Azul
Atlas FC","Football / Mexico / Primera Division, Clausura",1.30,5.00,8.75,72
https://www.betpawa.co.ke/event/32062108?filter=all,8:30 pm,Wed 14/01,"VfL Wolfsburg
FC St. Pauli",Football / Germany / Bundesliga,1.87,3.75,4.00,111
https://www.betpawa.co.ke/event/32069072?filter=all,10:30 pm,Wed 14/01,"TSG Hoffenheim
Borussia Monchengladbach",Football / Germany / Bundesliga,1.86,3.95,3.85,112
https://www.betpawa.co.ke/event/32069071?filter=all,10:30 pm,Wed 14/01,"RB Leipzig
SC Freiburg",Football / Germany / Bundesliga,1.80,4.00,4.00,113
https://www.betpawa.co.ke/event/32069070?filter=all,10:30 pm,Wed 14/01,"1. FC Cologne
Bayern Munich",Football / Germany / Bundesliga,8.00,6.50,1.30,111
https://www.betpawa.co.ke/event/32204768?filter=all,10:45 pm,Wed 14/01,"Heart of Midlothian FC
St Mirren FC",Football / Scotland / Premiership,1.31,4.85,11.00,108
https://www.betpawa.co.ke/event/32204769?filter=all,10:45 pm,Wed 14/01,"Falkirk FC
Celtic Glasgow",Football / Scotland / Premiership,6.25,4.45,1.48,109
https://www.betpawa.co.ke/event/32134756?filter=all,11:00 pm,Wed 14/01,"Chelsea FC
Arsenal FC",Football / England / EFL Cup,2.85,3.40,2.40,110
https://www.betpawa.co.ke/event/32309362?filter=all,4:00 am,Thu 15/01,"Queretaro FC
Club Tijuana de Caliente","Football / Mexico / Primera Division, Clausura",2.60,3.40,2.50,73
https://www.betpawa.co.ke/event/32285348?filter=all,4:00 am,Thu 15/01,"CF America
Atletico San Luis","Football / Mexico / Primera Division, Clausura",1.29,5.00,9.25,72
https://www.betpawa.co.ke/event/32266942?filter=all,6:00 am,Thu 15/01,"Tigres UANL
Pumas UNAM","Football / Mexico / Primera Division, Clausura",1.59,3.65,5.50,72
